,start_timestamp,frame,actual_timestamp,area,probability
10,1573061868,648,1573061911,276490,0.9885030388832092
16,1573061868,660,1573061912,153846,0.9741429686546326
20,1573061868,722,1573061916,119448,0.849568247795105
32,1573830164,72,1573830168,207648,0.9959473013877869
45,1573830164,1518,1573830265,294148,0.9699949622154236
64,1573830554,72,1573830558,103700,0.9830732345581055
70,1573830554,190,1573830566,122512,0.9776818156242371
74,1573830554,948,1573830617,120000,0.9248723983764648
86,1573064006,1004,1573064072,65682,0.964586615562439
92,1573065027,22,1573065028,172546,0.9799070954322815
66513,1573064984,652,1573065027,172546,0.9799070954322815
106,1573065027,842,1573065083,309245,0.9963318109512329
116,1573829035,60,1573829039,159516,0.9831836819648743
128,1573829035,436,1573829064,287879,0.945817232131958
132,1573067847,258,1573067864,148902,0.8962629437446594
134,1573067847,724,1573067895,165120,0.9917433261871338
152,1573822054,774,1573822105,90146,0.9935404062271118
170,1573822054,1114,1573822128,230400,0.9994004368782043
183,1573822054,1602,1573822160,165584,0.9772208333015442
190,1573825158,240,1573825174,166712,0.9809897541999817
217,1573069286,990,1573069352,299838,0.9970968961715698
228,1573069286,1222,1573069367,177110,0.9937022924423218
240,1573069286,3440,1573069515,179424,0.9833683371543884
250,1573069286,4138,1573069561,184387,0.7786732316017151
261,1573069286,4728,1573069601,78406,0.8787307143211365
269,1573069286,5366,1573069643,182172,0.825967013835907
19729,1573069642,26,1573069643,182172,0.825967013835907
19733,1573069642,34,1573069644,61832,0.9811953902244568
273,1573819923,60,1573819927,308610,0.9677233695983887
280,1573820071,58,1573820074,84777,0.7920950651168823
284,1573820071,534,1573820106,295320,0.7849053144454956
288,1573820071,772,1573820122,151800,0.8825669884681702
292,1573071355,394,1573071381,155015,0.9187614917755127
302,1573071355,1174,1573071433,357500,0.997747004032135
309,1573071355,1312,1573071442,211640,0.9960404634475708
319,1573071355,1600,1573071461,313472,0.9961335062980652
325,1573071355,2744,1573071537,152930,0.9147069454193115
334,1573071355,2846,1573071544,93016,0.9929660558700562
337,1573071355,2852,1573071545,176358,0.9947693347930908
349,1573071620,8,1573071620,168858,0.9353172183036804
351,1573071620,342,1573071642,124960,0.804706335067749
356,1573071620,2854,1573071810,302400,0.9966322183609009
363,1573072436,186,1573072448,152874,0.8222755193710327
366,1573072540,168,1573072551,119691,0.9886603951454163
369,1573072540,710,1573072587,61940,0.7101222276687622
373,1573072540,898,1573072599,180129,0.8323848247528076
376,1573072540,1062,1573072610,186984,0.9923213720321655
388,1573072540,1460,1573072637,313872,0.9944924116134644
402,1573072540,1604,1573072646,147611,0.9946951270103455
411,1574447919,130,1574447927,192372,0.9782505631446838
430,1574447919,452,1574447949,175192,0.9914848804473877
447,1574447919,1034,1574447987,132720,0.9094321131706238
452,1574451052,180,1574451064,102024,0.8130178451538086
473,1574452257,534,1574452292,307266,0.9930675029754639
495,1574452257,664,1574452301,135938,0.9888353943824768
522,1574443348,654,1574443391,146916,0.9002626538276672
537,1574443348,1386,1574443440,137608,0.8509166240692139
545,1574443348,1640,1574443457,127576,0.9006498456001282
559,1574443348,1756,1574443465,175760,0.9718955159187317
583,1574444337,1444,1574444433,111936,0.9760286808013916
593,1573833076,58,1573833079,188254,0.9213464260101318
599,1573833076,222,1573833090,303732,0.9999105930328369
625,1573074373,330,1573074395,340732,0.9935351014137268
639,1573074373,912,1573074433,243405,0.9971006512641907
650,1573074373,1040,1573074442,328510,0.997714638710022
666,1573074373,1200,1573074453,179424,0.99323570728302
679,1574429617,68,1574429621,260352,0.9982115626335144
692,1574429617,404,1574429643,215992,0.9978219270706177
703,1574429617,758,1574429667,149340,0.9433796405792236
712,1574431252,70,1574431256,166162,0.9783307313919067
721,1574431252,158,1574431262,157644,0.9947783946990967
732,1574431252,390,1574431278,194040,0.9965219497680664
744,1574431252,1694,1574431364,281082,0.9935469627380371
761,1574435017,462,1574435047,58830,0.7711909413337708
769,1574435017,610,1574435057,144040,0.9783969521522522
780,1574435017,1060,1574435087,181412,0.9582459926605225
793,1574437626,880,1574437684,139639,0.8865858316421509
809,1574425378,326,1574425399,199656,0.9598625898361206
819,1574425378,642,1574425420,147200,0.9517048597335815
828,1573418501,790,1573418553,297976,0.9994592666625977
837,1573418501,1460,1573418598,104813,0.9389212131500244
849,1573419125,842,1573419181,86390,0.8251747488975525
856,1573419125,1652,1573419235,137216,0.9071521759033203
894,1573419365,1606,1573419472,105656,0.8126081228256226
915,1573419485,1790,1573419604,314615,0.8809933066368103
921,1573419970,1134,1573420045,129336,0.8930977582931519
932,1573789448,104,1573789454,385659,0.9376737475395203
944,1573415256,656,1573415299,144024,0.9746910929679871
954,1573415256,1426,1573415351,323532,0.8426223397254944
978,1573413189,444,1573413218,305085,0.9963356852531433
984,1573413189,540,1573413225,123324,0.9623284339904785
995,1573413189,1344,1573413278,85344,0.969765841960907
1032,1573413428,74,1573413432,269100,0.9987109899520874
1228,1573404410,720,1573404458,196824,0.9903092384338379
1239,1573404410,1398,1573404503,142283,0.7683216333389282
1271,1574365452,1776,1574365570,159505,0.9924795031547546
1307,1574357446,210,1574357460,116964,0.8981596827507019
1315,1574357446,398,1574357472,110058,0.7767914533615112
1325,1574357446,512,1574357480,148995,0.999284565448761
1340,1574357446,950,1574357509,175260,0.8724058866500854
1351,1574357446,1382,1574357538,212253,0.9909089803695679
1356,1574357446,1446,1574357542,127836,0.927385151386261
1374,1574362016,222,1574362030,82790,0.8752976059913635
1381,1574362016,874,1574362074,159057,0.9911853075027466
1394,1574362016,1054,1574362086,84240,0.7081778049468994
1411,1574362016,1568,1574362120,277760,0.9948225021362305
1417,1574362016,1698,1574362129,271492,0.9151861667633057
1433,1574364825,456,1574364855,155574,0.9937072992324829
1451,1574364825,592,1574364864,213858,0.9737023711204529
1464,1574364825,1240,1574364907,127600,0.9862739443778992
1479,1574364825,1536,1574364927,334096,0.9924375414848328
1488,1573405976,14,1573405976,180107,0.9943372011184692
1506,1573405976,1316,1573406063,98160,0.7441329956054688
1509,1573405976,1750,1573406092,152998,0.99685138463974
1517,1574347477,54,1574347480,180310,0.989456057548523
1526,1574348319,58,1574348322,183000,0.7957563996315002
1529,1574348319,448,1574348348,140940,0.8637399673461914
1552,1574352030,76,1574352035,281520,0.8338398933410645
1558,1574352030,858,1574352087,124476,0.7286452651023865
1563,1574354787,196,1574354800,144156,0.9756811857223511
1576,1574354950,630,1574354992,195390,0.9698995351791382
1594,1573396000,70,1573396004,84581,0.9357600808143616
1600,1573396000,194,1573396012,84390,0.9576014280319214
1605,1573396000,560,1573396037,130659,0.9187752604484558
1618,1573394367,118,1573394374,186400,0.9328619241714478
1620,1573394367,122,1573394375,205024,0.9381282925605774
1626,1573394367,256,1573394384,210741,0.8816826343536377
1633,1574341765,58,1574341768,198779,0.998809814453125
1643,1574341765,162,1574341775,138142,0.8291101455688477
1649,1574341765,580,1574341803,171976,0.9771239161491394
1653,1574342011,52,1574342014,126007,0.9909010529518127
1668,1574342011,278,1574342029,180642,0.783435583114624
1688,1574345701,348,1574345724,173225,0.9789735078811646
1702,1574345701,736,1574345750,91872,0.7329801321029663
1703,1573389656,64,1573389660,111805,0.9915636777877808
1712,1574338576,60,1574338580,66348,0.9045445322990417
1719,1574338576,548,1574338612,109200,0.9531041979789734
1749,1574338576,1308,1574338663,51660,0.837573230266571
1772,1574339448,76,1574339453,131929,0.9933023452758789
1792,1574339448,418,1574339475,308602,0.9794749021530151
1816,1574339448,1088,1574339520,156984,0.9118194580078125
1866,1573680312,454,1573680342,109592,0.9283846616744995
1871,1573680312,556,1573680349,157820,0.8590143918991089
1883,1573680312,1064,1573680382,289190,0.9922059774398804
1894,1573680312,1372,1573680403,230880,0.9773173928260803
1918,1573676130,600,1573676170,195364,0.9534119367599487
1933,1573677878,30,1573677880,111296,0.7177085280418396
1938,1573677878,468,1573677909,43160,0.7491042613983154
1947,1573675779,1032,1573675847,81732,0.8854582905769348
1978,1573674225,404,1573674251,177120,0.9963437914848328
2001,1573674225,538,1573674260,129150,0.9706472754478455
2007,1573674225,726,1573674273,92584,0.9734971523284912
2015,1574284693,44,1574284695,210240,0.979315459728241
2047,1574284693,878,1574284751,116616,0.8753272891044617
2053,1574284693,1212,1574284773,269392,0.8854953050613403
2086,1573249877,22,1573249878,197298,0.7921774983406067
2107,1573669762,54,1573669765,199302,0.954852819442749
2116,1573670642,90,1573670648,132894,0.9794161915779114
2129,1573670642,556,1573670679,209196,0.8244358897209167
2135,1573670642,708,1573670689,40320,0.7494688034057617
2162,1573671226,544,1573671262,274659,0.9988843202590942
2173,1573671226,610,1573671266,170455,0.9972706437110901
2206,1574282302,44,1574282304,70119,0.8217629194259644
2207,1574282302,46,1574282305,66676,0.7120959162712097
2214,1574282302,418,1574282329,45241,0.8165876865386963
2232,1574282302,658,1574282345,71118,0.7561279535293579
2235,1574282302,664,1574282346,47680,0.7776342630386353
2261,1574283405,46,1574283408,154773,0.9917222857475281
2279,1574283405,336,1574283427,283071,0.836334764957428
2327,1574283405,976,1574283470,203243,0.7394534945487976
2339,1574283405,1348,1574283494,104346,0.9894172549247742
2391,1574283805,72,1574283809,188832,0.9811898469924927
2406,1574283805,226,1574283820,45758,0.8248207569122314
2444,1573660803,296,1573660822,208314,0.9741294980049133
2452,1573660803,614,1573660843,277931,0.8950099945068359
2465,1573660803,1484,1573660901,172050,0.9505504369735718
2473,1574278341,66,1574278345,336515,0.8286567330360413
2484,1574278341,152,1574278351,117199,0.8300973176956177
2509,1574278341,466,1574278372,158700,0.9979609251022339
2585,1574279357,574,1574279395,42687,0.8437605500221252
2618,1574279357,1580,1574279462,177034,0.9718831777572632
2631,1574280233,320,1574280254,168705,0.9543923139572144
2640,1574280233,466,1574280264,134301,0.8637768626213074
2651,1574280233,690,1574280279,60711,0.7183232307434082
2678,1574280585,762,1574280635,222318,0.9952090382575989
2690,1574280585,964,1574280649,49928,0.7350157499313354
2711,1574280585,1522,1574280686,288575,0.9996858239173889
2735,1574280585,1638,1574280694,158045,0.9881288409233093
2742,1574280585,1652,1574280695,301860,0.9706024527549744
2764,1573658540,38,1573658542,116831,0.9596914649009705
2777,1574272904,80,1574272909,176624,0.9459221363067627
2787,1574273009,58,1574273012,172260,0.9820432662963867
2803,1574273009,462,1574273039,135945,0.8208267688751221
2827,1574267661,88,1574267666,202867,0.9310131669044495
2828,1574267661,90,1574267667,148225,0.8704323768615723
2849,1574267661,800,1574267714,148512,0.9956010580062866
2870,1574267661,998,1574267727,84480,0.9659579992294312
2896,1574269292,66,1574269296,190814,0.9844813942909241
2904,1574269292,82,1574269297,174556,0.9336531758308411
2908,1574269292,90,1574269298,52122,0.8347487449645996
2927,1574269292,538,1574269327,289920,0.9907270669937134
2952,1574265189,220,1574265203,171666,0.9992488026618958
2985,1574265189,650,1574265232,250495,0.9994545578956604
3028,1574265189,860,1574265246,181458,0.9346998929977417
3049,1574265189,1212,1574265269,284544,0.9979152679443359
3061,1574265189,1236,1574265271,306070,0.9947268962860107
3094,1573657558,250,1573657574,157612,0.9932912588119507
3101,1573657558,1042,1573657627,99189,0.8793923258781433
3108,1573657558,1686,1573657670,130760,0.914036214351654
3118,1574261305,54,1574261308,68847,0.9285295009613037
3133,1574261305,212,1574261319,289938,0.9965533018112183
3143,1574261305,294,1574261324,63536,0.9540202617645264
3151,1574261987,280,1574262005,128260,0.9914036989212036
3159,1574261987,362,1574262011,174225,0.9496924877166748
3195,1573246158,398,1573246184,255225,0.7898951172828674
3214,1573246158,1560,1573246262,66778,0.879560649394989
3235,1574252922,846,1574252978,209380,0.9910075664520264
3254,1574252922,1366,1574253013,283220,0.7232656478881836
3259,1573649710,388,1573649735,131404,0.9869155287742615
3269,1573649710,464,1573649740,49329,0.9605655670166016
3276,1573649710,956,1573649773,42840,0.9221500754356384
3293,1573649710,1112,1573649784,145270,0.9904453754425049
3309,1573648193,312,1573648213,197340,0.9805099368095398
9601,1573648288,10,1573648288,114821,0.9778985381126404
3318,1573245171,1172,1573245249,91728,0.9074712991714478
3324,1573245171,1440,1573245267,180648,0.7848615050315857
3326,1573245171,1712,1573245285,157728,0.9591238498687744
3338,1573833486,282,1573833504,194040,0.9953339099884033
3348,1573833486,726,1573833534,181104,0.9861416816711426
3355,1573835047,70,1573835051,282586,0.810320258140564
3368,1573835047,736,1573835096,65813,0.9144882559776306
3379,1573835328,48,1573835331,122450,0.9889477491378784
3391,1573835328,466,1573835359,192832,0.9906723499298096
3398,1574190186,234,1574190201,232650,0.9990724325180054
3410,1574190186,706,1574190233,127840,0.9791595339775085
3424,1574190186,956,1574190249,56394,0.8356931805610657
3430,1574190186,1480,1574190284,132632,0.8476225733757019
3436,1574191065,66,1574191069,100448,0.8448692560195923
3472,1574194396,130,1574194404,171045,0.8968418836593628
3480,1574194396,632,1574194438,72657,0.8068285584449768
3499,1574198409,1226,1574198490,97464,0.9260265231132507
3506,1574198409,1632,1574198517,301096,0.864249587059021
3523,1574189345,356,1574189368,263728,0.9984763860702515
3533,1574189345,808,1574189398,157033,0.9943795800209045
3544,1574189345,970,1574189409,385018,0.9760702252388
3552,1574189345,992,1574189411,338032,0.9336676597595215
3567,1574188297,52,1574188300,158998,0.9427204132080078
3590,1574188743,122,1574188751,122673,0.8391422033309937
3603,1574188743,388,1574188768,71600,0.7337405681610107
3620,1574184003,64,1574184007,93024,0.8304672241210938
3638,1574184003,1492,1574184102,262870,0.9984719157218933
